TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
466000000.0	5180378.0	3385770.5	21506514.0
467000000.0	5180519.5	3385827.2	21509357.9
468000000.0	5180660.5	3385883.6	21512190.5
469000000.0	5180800.8	3385939.8	21515011.7
470000000.0	5180940.6	3385995.7	21517821.7
471000000.0	5181079.8	3386051.4	21520620.4
472000000.0	5181218.3	3386106.9	21523408.1
473000000.0	5181356.4	3386162.1	21526184.7
474000000.0	5181493.8	3386217.2	21528950.3
475000000.0	5181630.7	3386271.9	21531704.9
476000000.0	5181767.0	3386326.5	21534448.7
477000000.0	5181902.7	3386380.8	21537181.8
478000000.0	5182037.9	3386434.9	21539904.0
479000000.0	5182172.5	3386488.8	21542615.6
480000000.0	5182306.5	3386542.4	21545316.6
481000000.0	5182440.0	3386595.9	21548007.1
482000000.0	5182573.0	3386649.1	21550687.0
483000000.0	5182705.4	3386702.1	21553356.5
484000000.0	5182837.3	3386754.8	21556015.7
485000000.0	5182968.6	3386807.4	21558664.6
486000000.0	5183099.4	3386859.7	21561303.2
487000000.0	5183229.7	3386911.9	21563931.6
488000000.0	5183359.5	3386963.8	21566549.9
489000000.0	5183488.7	3387015.5	21569158.2
490000000.0	5183617.4	3387067.0	21571756.4
491000000.0	5183745.6	3387118.3	21574344.7
492000000.0	5183873.3	3387169.4	21576923.1
493000000.0	5184000.4	3387220.2	21579491.6
494000000.0	5184127.1	3387270.9	21582050.4
495000000.0	5184253.2	3387321.4	21584599.4
496000000.0	5184378.9	3387371.6	21587138.8
497000000.0	5184504.0	3387421.7	21589668.6
498000000.0	5184628.6	3387471.6	21592188.8
499000000.0	5184752.8	3387521.2	21594699.4
500000000.0	5184876.5	3387570.7	21597200.7
501000000.0	5184999.6	3387620.0	21599692.5
502000000.0	5185122.3	3387669.1	21602175.0
503000000.0	5185244.5	3387718.0	21604648.2
504000000.0	5185366.3	3387766.7	21607112.1
505000000.0	5185487.5	3387815.2	21609566.9
506000000.0	5185608.3	3387863.5	21612012.5
507000000.0	5185728.6	3387911.6	21614449.0
508000000.0	5185848.4	3387959.5	21616876.5
509000000.0	5185967.8	3388007.3	21619295.0
510000000.0	5186086.7	3388054.8	21621704.6
511000000.0	5186205.2	3388102.2	21624105.3
512000000.0	5186323.2	3388149.4	21626497.1
513000000.0	5186440.7	3388196.4	21628880.1
514000000.0	5186557.8	3388243.3	21631254.5
515000000.0	5186674.4	3388289.9	21633620.1
516000000.0	5186790.6	3388336.4	21635977.0
517000000.0	5186906.4	3388382.7	21638325.4
518000000.0	5187021.7	3388428.8	21640665.2
519000000.0	5187136.5	3388474.7	21642996.5
520000000.0	5187251.0	3388520.5	21645319.3
521000000.0	5187365.0	3388566.1	21647633.8
522000000.0	5187478.5	3388611.5	21649939.8
523000000.0	5187591.7	3388656.7	21652237.6
524000000.0	5187704.4	3388701.8	21654527.0
525000000.0	5187816.7	3388746.7	21656808.3
526000000.0	5187928.5	3388791.4	21659081.3
527000000.0	5188040.0	3388836.0	21661346.2
528000000.0	5188151.0	3388880.4	21663603.0
529000000.0	5188261.6	3388924.6	21665851.8
530000000.0	5188371.8	3388968.7	21668092.5
531000000.0	5188481.6	3389012.6	21670325.2
532000000.0	5188591.0	3389056.3	21672550.1
533000000.0	5188699.9	3389099.9	21674767.0
534000000.0	5188808.5	3389143.3	21676976.1
535000000.0	5188916.7	3389186.5	21679177.4
536000000.0	5189024.4	3389229.6	21681370.9
537000000.0	5189131.8	3389272.5	21683556.7
538000000.0	5189238.8	3389315.3	21685734.8
539000000.0	5189345.4	3389357.9	21687905.3
540000000.0	5189451.6	3389400.4	21690068.2
541000000.0	5189557.4	3389442.7	21692223.5
542000000.0	5189662.8	3389484.8	21694371.3
543000000.0	5189767.8	3389526.8	21696511.6
544000000.0	5189872.5	3389568.6	21698644.5
545000000.0	5189976.7	3389610.3	21700770.0
546000000.0	5190080.6	3389651.9	21702888.1
547000000.0	5190184.2	3389693.2	21704998.9
548000000.0	5190287.3	3389734.5	21707102.4
549000000.0	5190390.1	3389775.6	21709198.6
550000000.0	5190492.5	3389816.5	21711287.6
551000000.0	5190594.5	3389857.3	21713369.5
552000000.0	5190696.2	3389897.9	21715444.2
553000000.0	5190797.5	3389938.4	21717511.8
554000000.0	5190898.4	3389978.8	21719572.4
555000000.0	5190999.0	3390019.0	21721625.9
556000000.0	5191099.3	3390059.0	21723672.4
557000000.0	5191199.1	3390098.9	21725712.0
558000000.0	5191298.7	3390138.7	21727744.6
559000000.0	5191397.8	3390178.3	21729770.3
560000000.0	5191496.6	3390217.8	21731789.2
561000000.0	5191595.1	3390257.2	21733801.3
562000000.0	5191693.2	3390296.4	21735806.6
563000000.0	5191791.0	3390335.5	21737805.1
564000000.0	5191888.4	3390374.4	21739797.0
565000000.0	5191985.5	3390413.2	21741782.1
566000000.0	5192082.3	3390451.9	21743760.6
567000000.0	5192178.7	3390490.4	21745732.5
568000000.0	5192274.8	3390528.8	21747697.8
569000000.0	5192370.5	3390567.1	21749656.5
570000000.0	5192465.9	3390605.2	21751608.8
571000000.0	5192561.0	3390643.2	21753554.5
572000000.0	5192655.8	3390681.1	21755493.8
573000000.0	5192750.2	3390718.8	21757426.7
574000000.0	5192844.3	3390756.4	21759353.2
575000000.0	5192938.1	3390793.9	21761273.3
