task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
22	a1/a9ae84	355630	BWA_MEM (SPT5_T0_R2_T1)	COMPLETED	0	2020-09-10 12:59:09.882	13.5s	10.2s	174.1%	171.3 MB	643 MB	79.9 MB	61.5 MB
23	ea/8d626f	357129	BWA_MEM (SPT5_T15_R2_T1)	COMPLETED	0	2020-09-10 12:59:17.630	13.8s	10.2s	161.3%	160.8 MB	289.7 MB	79.5 MB	60.9 MB
24	1b/db658c	358415	BWA_MEM (SPT5_T15_R1_T1)	COMPLETED	0	2020-09-10 12:59:23.345	12.9s	9.1s	180.1%	165.8 MB	353.2 MB	80.7 MB	62.3 MB
25	7c/53671b	359823	SORT_BAM (SPT5_INPUT_R1_T1)	COMPLETED	0	2020-09-10 12:59:31.464	5.9s	1.8s	118.8%	36.2 MB	1.7 GB	43.1 MB	10.4 MB
26	86/61e059	360936	SORT_BAM (SPT5_T0_R1_T1)	COMPLETED	0	2020-09-10 12:59:36.291	4.6s	1.9s	122.5%	58.8 MB	1.7 GB	37.2 MB	8.5 MB
27	5b/bd5826	361547	SORT_BAM (SPT5_INPUT_R2_T1)	COMPLETED	0	2020-09-10 12:59:37.415	4.6s	1.5s	140.3%	69.3 MB	1.9 GB	43.2 MB	10.4 MB
28	c9/741bb9	362587	SORT_BAM (SPT5_T0_R2_T1)	COMPLETED	0	2020-09-10 12:59:40.863	4.5s	1.7s	127.9%	29.8 MB	1.7 GB	37 MB	8.4 MB
29	93/52da3f	363196	SORT_BAM (SPT5_T15_R2_T1)	COMPLETED	0	2020-09-10 12:59:42.026	4.8s	1.4s	141.8%	63.6 MB	1.9 GB	38.3 MB	8.9 MB
30	a2/74e365	364191	SORT_BAM (SPT5_T15_R1_T1)	COMPLETED	0	2020-09-10 12:59:45.402	3.9s	1.3s	143.2%	47.9 MB	1.7 GB	38.5 MB	8.8 MB
32	a0/83ea26	365128	MERGED_BAM (SPT5_T0_R1)	COMPLETED	0	2020-09-10 12:59:49.334	19.9s	16.6s	124.8%	2.4 GB	9.2 GB	56.6 MB	9.3 MB
31	18/7f78a9	365129	MERGED_BAM (SPT5_INPUT_R1)	COMPLETED	0	2020-09-10 12:59:49.342	21.1s	17.9s	151.3%	2.4 GB	9.2 GB	65.8 MB	11.1 MB
33	a0/5b8bb4	368854	MERGED_BAM (SPT5_T0_R2)	COMPLETED	0	2020-09-10 13:00:09.242	17.5s	14.2s	145.5%	2.4 GB	9.3 GB	55.9 MB	9.2 MB
34	20/d306ec	369370	MERGED_BAM (SPT5_INPUT_R2)	COMPLETED	0	2020-09-10 13:00:10.448	18.6s	15.5s	163.4%	2.4 GB	9.2 GB	66.2 MB	11.1 MB
35	41/b46a47	371876	MERGED_BAM (SPT5_T15_R1)	COMPLETED	0	2020-09-10 13:00:26.737	16.5s	13.5s	151.8%	2.3 GB	9.2 GB	58.1 MB	9.6 MB
36	17/674501	372613	MERGED_BAM (SPT5_T15_R2)	COMPLETED	0	2020-09-10 13:00:29.046	17.3s	13.3s	153.7%	2.3 GB	9.2 GB	58.2 MB	9.6 MB
38	b4/65bc40	374906	PRESEQ (SPT5_T0_R1)	COMPLETED	0	2020-09-10 13:00:43.289	8.3s	5.5s	100.1%	12.9 MB	470.3 MB	8.7 MB	430.4 KB
37	84/7667d4	375787	MERGED_BAM_FILTER (SPT5_T0_R1)	COMPLETED	0	2020-09-10 13:00:46.310	5.9s	2.9s	134.7%	35.9 MB	1.9 GB	33.3 MB	15.5 MB
40	6e/ba78a5	377233	MERGED_BAM_FILTER (SPT5_INPUT_R1)	COMPLETED	0	2020-09-10 13:00:52.260	8.7s	5.2s	136.9%	62 MB	2 GB	54.3 MB	27 MB
